Day,RS,recoding,mi_grazing,mi_rumination,snr_grazing,snr_rumination
1,1,1,0.455921532493349,0.3279788027882599,9.626670221057244,6.264893239448028
1,1,2,0.3842650182484965,0.3395109294041303,8.37664367986397,7.112171880966695
1,1,3,0.4315951687587042,0.32741611538993604,8.45359888529728,6.163941343417239
1,1,4,0.35098678011440887,0.2680284012160522,7.9557670281035096,6.219983482138035
1,1,5,,,,
1,2,1,0.3209228106597712,,8.305864205004765,
1,2,2,0.3520773971328496,,8.620584295687124,
1,3,1,0.37991251250086794,0.24862533148653543,8.363977288898345,5.7542894873458525
1,3,2,0.45161786880381943,0.35313992373663644,9.433361294162706,8.465954443125083
1,3,3,0.5651386678904684,0.3973668389588346,10.414874782996382,8.521424162941182
1,3,4,0.542731894333184,0.4099675935107161,10.242064389596393,8.65640257174271
1,3,5,,,,
1,4,1,0.5175348314178919,0.3144261490182177,9.81208750107541,4.504247441874666
1,4,2,0.5212830127676732,0.3696647979689684,10.08691771056401,5.867060910140489
1,4,3,0.706650008738295,0.36646095619472446,10.967730229277413,6.942613886031822
1,4,4,0.6644620131617234,0.3943685685503918,10.780992893905452,7.401332506380345
1,5,1,0.3616343854026345,0.28708474802683204,6.407750546753429,1.070938644299107
1,5,2,0.3107602617232766,0.28439524962149176,3.2163122894280867,-1.3465972507150676
1,5,3,0.29426224815195534,0.3670393609679292,2.0764537668036946,-1.0342808572151467
1,5,4,0.29268274188033727,0.37105318390060527,1.8222844992204958,1.7848273470391682
2,1,1,0.5080561872484327,,10.064873663195485,
2,1,2,0.48760807417664936,0.31889994487641266,9.874970243871232,5.96268869915291
2,1,3,0.637879869538294,0.38000455892485346,11.091765011081527,7.417997641043068
2,1,4,0.623780339840571,0.32665819538266955,10.848756826317928,5.607298007451959
2,1,5,0.4399974482225858,,9.333221249357535,
2,2,1,0.3685131544229184,,7.739833119182841,
2,2,2,0.34027188774918593,0.2948299580271569,7.469910243115171,4.858869134984113
2,2,3,0.4179622014480422,0.26453811146345196,8.9128653363305,5.152005798191027
2,2,4,0.48114433393364536,0.2963933913414072,9.944538430031544,4.90212821083295
2,3,1,0.29704325431359374,,7.8667202135946,
2,3,2,0.3433481963472733,0.253940096620969,7.856811003611765,6.230113821518832
2,3,3,0.4237200469048328,,8.969872040415726,
2,3,4,0.4352688369703467,0.3147308250871032,8.879386600437863,4.678763388910262
2,3,5,0.4590947158558869,0.42412898336256855,7.6057878460184,7.250512587917105
2,4,1,,,,
2,4,2,0.6348578171379291,0.47710918238958255,10.197960801759844,9.283495543498665
2,4,3,,0.4572828022215349,,8.929330664985255
2,4,4,,,,
2,5,1,0.4321164707899247,,9.484551918998186,
2,5,2,0.41157588504630316,0.2845147191495954,9.398229249268955,5.453427192785973
2,5,3,0.5520406923797758,0.29980825154500657,10.529817639942731,7.727182305724409
2,5,4,0.5174049583328688,0.24807817372087934,10.166277195220395,5.777100112218673
3,1,1,,,,
3,1,2,0.43122532383338535,,9.576737755009614,
3,1,3,0.468249661027456,0.3382741619026824,9.917143418344423,4.800344691537117
3,1,4,0.4313611661501254,0.2837596431158881,8.732140819052725,4.276693281874684
3,2,1,0.38705555534222,0.2772537577453382,8.748347592177666,7.485671433944384
3,2,2,0.4612596727435167,0.24965880874493016,9.581016348008964,4.886168428884977
3,2,3,0.5222542209126891,0.248895866201291,9.772673629184732,4.7854863868419
3,2,4,0.48195550309301616,0.22138571331607662,9.793912447839102,2.2266688190329815
3,3,1,0.4327250387973652,,9.938582822909158,
3,3,2,0.4607775972640978,0.25407012285753644,9.711279243310026,5.387848039442461
3,3,3,0.5047365120553672,0.2719943207457403,10.004528779087206,5.056193575710845
3,3,4,0.47119505731136974,0.24688720661830152,10.01804761206592,4.426926408047442
3,4,1,0.6620561990225788,,10.915953145355603,
3,4,2,0.6333590308034924,,10.682873750766806,
3,4,3,0.7064631995990611,0.3984657302341628,11.002732868171634,8.213407479239489
3,4,4,0.6207388945801913,0.42079962643610574,10.823195912435713,8.607294503174876
3,5,1,,,,
3,5,2,0.41029862998069194,0.30221608167047054,4.492332754662303,0.5497033139908087
3,5,3,0.37032900116052353,0.31677252011870116,4.195215061313244,0.7492759010816946
3,5,4,0.38248940183080826,,4.669166340253784,
4,1,1,,,,
4,1,2,0.5232321155836296,0.3947437899564095,10.399991647741812,7.669352054752794
4,1,3,0.5336753279015879,0.3257680309309824,10.81763536060084,6.563038823648743
4,1,4,0.4672033848921571,,9.624867267783767,
4,1,5,,,,
4,2,1,0.3640040536850005,,7.208460459918954,
4,2,2,0.33516696340001073,0.36868547702022014,7.12793601727666,6.232845347064423
4,2,3,0.3269302689295237,0.3373831652771771,6.419064228356739,1.3821445600199496
4,2,4,0.3486003902834372,0.3025116318129462,7.1447193432261615,3.6640530190557405
4,3,1,0.44069051918196955,,9.17244517852377,
4,3,2,0.45396355212887407,0.4039823539287984,8.949729593418002,6.060516692086815
4,3,3,0.492972151879705,0.38784421867266494,9.480119597404418,4.515761782253563
4,3,4,0.39734547069637555,0.363440503197806,7.493036392727136,4.598118655043737
4,3,5,0.4656673779363585,,8.807693217922006,
4,4,1,0.6741967753391531,,11.094726870402859,
4,4,2,0.6015664978533837,0.3620923322658274,10.694729690416446,7.179203890199963
4,4,3,0.5810241471567792,0.16028440488528176,8.720973336571069,0.8543899035447003
4,4,4,0.4957780841752248,0.15136156041155235,8.148654091819232,-1.9153418006608174
4,4,5,0.41464033034331765,,7.935315907295673,
4,5,1,0.24686619106833493,,2.47802540753264,
4,5,2,0.34408901098161737,0.33971521898740825,4.8111290918236325,4.882154827967651
4,5,3,0.337188215558327,0.2631468336439327,3.7881852274771224,-0.0851047521252996
4,5,4,0.3406099091027179,0.21122107879048904,4.4218346168172955,0.7074874892343024
4,5,5,0.310244915643761,,4.45554459193358,
5,1,1,0.4271999995606342,,9.310196008118554,
